Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2016,2017
NLD,Netherlands,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,15,4
NOR,Norway,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,87.1,96.39,
NOR,Norway,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,3,3
NPL,Nepal,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,19.9,35,
NPL,Nepal,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,118,108
NZL,New Zealand,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,82.9,93,
NZL,New Zealand,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,10,10
OMN,Oman,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,48.8,60,
OMN,Oman,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,65,64
PAK,Pakistan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,27.7,24,
PAK,Pakistan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,105,120
PAN,Panama,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,47.2,43,
PAN,Panama,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,68,84
PER,Peru,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,43.1,41,
PER,Peru,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,76,94
PHL,Philippines,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,35.7,40,
PHL,Philippines,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,89,96
POL,Poland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,65.2,78,
POL,Poland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,35,37
PRT,Portugal,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,60.4,68,
PRT,Portugal,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,42,48
PRY,Paraguay,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,43.8,41,
PRY,Paraguay,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,74,93
QAT,Qatar,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,72.4,62,
QAT,Qatar,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,26,58
ROU,Romania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,55,69,
ROU,Romania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,53,45
RUS,Russian Federation,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,57.6,71,
RUS,Russian Federation,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,47,43
RWA,Rwanda,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,19.9,37,
RWA,Rwanda,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,117,99
SAU,Saudi Arabia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,52.2,69,
SAU,Saudi Arabia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,56,46
SDN,Sudan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,12.4,15,
SDN,Sudan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,132,137
SEN,Senegal,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,33.4,30,
SEN,Senegal,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,91,112
SGP,Singapore,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,75.8,90,
SGP,Singapore,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,23,18
SLE,Sierra Leone,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,14.3,16,
SLE,Sierra Leone,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,128,136
