id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
185,Poland,Warsaw,Europe,"Warsaw Internet Exchange",http://www.wix.aster.pl/vxb/w/,Defunct,19960000,0,52.23000,21.00000,0,0,0,0,0.000000,No,2009-12-15,,,,,,,http://www.wix.aster.pl/vxb/w/index.asp?sid=e1130c4dbcc8bf8b213df928bdc8926c&klienci_x=klienci,No,,383
188,Romania,Bucharest,Europe,"Bucharest Internet Exchange",http://www.buhix.ro/,Defunct,19990000,0,44.50000,26.13000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.buhix.ro/toc.htm,No,,383
194,Russia,"St. Petersburg",Europe,"North West Internet Exchange",http://www.rusnet.ru/mpix,Defunct,19980000,0,59.93000,30.30000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.rusnet.ru/mpix/members.htm,No,,383
196,"Saudi Arabia",Riyadh,Europe,"Saudi Telecommunications Company Internet NOC",,"Not an exchange",0,0,24.72000,46.72000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
197,"Saudi Arabia",Riyadh,Europe,"The Internet Services Unit",http://www.isu.net.sa/,"Not an exchange",19980000,0,24.72000,46.72000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
198,"United Kingdom",Edinburgh,Europe,"Scottish Internet Exchange",http://www.scotix.com/,Defunct,19990900,0,55.92000,-3.17000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
199,"United Kingdom",Edinburgh,Europe,WorldIX,http://www.worldix.com,Defunct,20000200,0,55.92000,-3.17000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
200,Singapore,Singapore,Asia-Pacific,"Pihana Singapore",,"Not an exchange",0,0,1.37000,103.98000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
201,Singapore,Singapore,Asia-Pacific,"Singapore One Network for Everyone",,"Not an exchange",0,0,1.37000,103.98000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
203,Singapore,Singapore,Asia-Pacific,"Singapore Telecom Internet Exchange",http://www.ix.singtel.com/,"Not an exchange",0,0,1.37000,103.98000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
207,"South Africa","Cape Town",Africa,Hub,http://hub.org.za,Defunct,0,0,-33.98000,18.60000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,81
208,"South Africa",Grahamstown,Africa,"Grahamstown Internet Exchange",http://ginx.org.za/,Defunct,20050313,30,-33.28000,26.50000,0,0,0,0,0.000000,No,2017-01-30,,,,,,,http://ginx.org.za/participants,No,,81
210,"South Africa",Johannesburg,Africa,"South African Internet Exchange",,"Not an exchange",0,0,-26.13000,28.23000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,81
212,Spain,Bilbao,Europe,"Punto Neutro Vasco de Internet",http://www.euskonix.net/,Defunct,20020117,0,43.30000,-2.93000,0,0,0,0,0.000000,No,2017-02-22,,,,,,,http://www.euskonix.net/socios.html,No,,383
214,Spain,Madrid,Europe,"Madrid Internet Exchange",http://www.mad-ix.net/,Unknown,0,0,40.43000,-3.70000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
216,Spain,Madrid,Europe,"Punto Neutro Español de Internet",http://www.espanix.net,Deprecated,0,0,40.43000,-3.70000,0,0,0,0,0.000000,No,2014-09-23,,,,,,,http://www.espanix.net/esp/peering.htm,No,,383
217,Spain,"Santiago de Compostela",Europe,"Punto Neutro de Intercambio de Tráfico de Internet en Galicia",http://www.galnix.net,Defunct,20020719,0,42.90000,-8.43000,0,0,0,0,0.000000,No,2007-12-27,,,,,,,http://www.galnix.net,No,,383
218,"Sri Lanka",Colombo,Asia-Pacific,"Singapore Telecom Internet Exchange",,"Not an exchange",0,0,6.90000,79.87000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
220,Swaziland,Mbabane,Africa,"Swaziland Internet Exchange",,Deprecated,20040600,0,-26.31667,31.13333,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,81
