CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Access,Association,Expression,Total Country Score
morocco,Africa,Northern Africa,Morocco,Lower Middle Income,4.934710062888889,4.142857142857142,5.999963995751498,5.02584373383251
belarus,Europe,Eastern Europe,Belarus,Upper Middle Income,5.288342380833334,3.0,5.999771973092825,4.762704784642053
namibia,Africa,Sub-Saharan Africa,Namibia,Upper Middle Income,4.513251940333333,,,4.513251940333333
switzerland,Europe,Western Europe,Switzerland,High Income,5.718127599444445,,5.995403457607997,5.856765528526221
botswana,Africa,Sub-Saharan Africa,Botswana,Upper Middle Income,5.099186325000001,,,5.099186325000001
lithuania,Europe,Northern Europe,Lithuania,High Income,5.325428849166666,,5.99964595822307,5.662537403694868
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,3.3573164494999994,4.571428571428571,6.0,4.64291500697619
algeria,Africa,Northern Africa,Algeria,Lower Middle Income,5.201219177333333,,5.999945993627248,5.600582585480291
serbia,Europe,Southern Europe,Serbia,Upper Middle Income,5.044554447555557,4.571428571428571,5.999921990794913,5.205301669926347
liberia,Africa,Sub-Saharan Africa,Liberia,Low Income,2.8901906015,,,2.8901906015
singapore,Asia,South-eastern Asia,Singapore,High Income,5.570091279388888,3.4285714285714284,5.999375926359311,4.999346211439876
eswatini,Africa,Sub-Saharan Africa,Eswatini,Lower Middle Income,2.487848027583333,,,2.487848027583333
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,4.865116305611111,4.0,5.989516762978031,4.95154435619638
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.7638589859166665,,,2.7638589859166665
kosovo,Europe,Southern Europe,Kosovo (UNSCR 1244),Upper Middle Income,6.0,,,6.0
