Country,Type,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Nepal,Legislation,"The Privacy Act, 2018",http://www.lawcommission.gov.np/en/wp-content/uploads/2019/07/The-Privacy-Act-2075-2018.pdf,,
Netherlands,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Netherlands,Legislation,Personal Data Protection Act 1998 (in Dutch),http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_04-07-2011,,
Netherlands,Legislation,"Personal Data Protection Act (in English, unofficial translation)",http://www.legislationline.org/documents/action/popup/id/5342,,
New Zealand,Legislation,Privacy Act 1993 (in English),http://www.legislation.govt.nz/act/public/1993/0028/latest/DLM296639.html,,
Nicaragua,Legislation,Ley No. 787 Ley de Protección de Datos Personales (in Spanish),http://www.pgr.gob.ni/PDF/Constitucional/ley%20787.pdf,,
Niger,Legislation,"Loi n°2017-28 du 03 Mai 2017 relative à la protection des données à caractère personnel, révisé en 2019 (In French)",https://www.afapdp.org/wp-content/uploads/2017/02/Loi-n%c2%b02017-28-du-03-mai-2017.pdf,,
Nigeria,Legislation,Data Protection Regulation,https://ictpolicyafrica.org/pt/document/vvvjev9pcvs,,
Norway,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Norway,Legislation,Personal Data Act 2000 (in English),https://www.legislationline.org/download/id/5545/file/Norway_Personal_Data_Act_am2012_en.pdf,,
Oman,Legislation,Royal Decree no. 69 of 2008 - Electronic Transactions Law (in English),http://www.cert.gov.om/library/information/Electronic%20Transactions%20Law%20English.pdf,,
Pakistan,Draft Legislation,Bill - Electronic Data Protection Act 2005 (in English),http://media.mofo.com/docs/mofoprivacy/PAKISTAN%20Draft%20Law%202nd%20Revision%20.pdf,,
Panama,Legislation,"Ley 81, Protección de datos personales, 2019",https://www.gacetaoficial.gob.pa/pdfTemp/28743_A/GacetaNo_28743a_20190329.pdf,,
Paraguay,Legislation,Ley 1682/2001 Reglamenta la Informacion de Caracter Privado (in Spanish),http://www.oas.org/es/sla/ddi/docs/PA6%20Ley%20N%201682%20de%202001.pdf,,
Paraguay,Legislation,"Ley Nº 1969/2002 “Que modifica, amplía y deroga varios artículos de la Ley Nº 1682/2001”",http://digesto.senado.gov.py/ups/leyes/10389.pdf,,
Paraguay,Legislation,Ley Nº 5543/2015 “Que modifica parcialmente la Ley Nº 1969/2002”,http://www.bacn.gov.py/archivos/4524/20160224131953.pdf ,,
Paraguay,Legislation,Ley Nº 5830/2017 “Que prohíbe la publicidad no autorizada por los usuarios titulares de telefonía móvil”,https://drive.google.com/file/d/1Sa1-pI1tCPffeTVqNCiVb-tLyvjHBzlx/view,,
Paraguay,Legislation,Decreto Nº 8000/2017 “Por el cual se reglamenta la Ley 5830/2017 Que prohíbe la publicidad no autorizada por los usuarios titulares de telefonía móvil”,https://drive.google.com/file/d/1YJGCA1i7W5Ok_t_JlNkSXw8ae__zdQG-/view ,,
Paraguay,Legislation,Resolución Nº 80/2018 “Por la cual se aprueba la normativa reglamentaria de la Ley Nº 5830 Que prohíbe Que prohíbe la publicidad no autorizada por los usuarios titulares de telefonía móvil”,https://drive.google.com/file/d/1Uzc78s9ZSTOGPwmcn1kRVHTp9U_EwKle/view ,,
Peru,Legislation,Ley N° 29733 - Ley de Protección de Datos Personales (in Spanish),http://doc.contraloria.gob.pe/documentos/Cuadro_Ley_Proteccion_Datos_Personales.pdf,,
Philippines,Legislation,Data Privacy Act of 2012 (in English),http://www.lawphil.net/statutes/repacts/ra2012/ra_10173_2012.html,,
Poland,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Poland,Legislation,Act on the Protection of Personal Data 1997 (in English),http://www.giodo.gov.pl/144/id_art/171/j/en/,,
Portugal,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Portugal,Legislation,"Lei No. 13,709/2018 Protecao de Dados Pessoais",http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/Lei/L13709.htm,,
Qatar,Legislation,Law No. 13 of 2016 Concerning Privacy and Protection of Personal Data (in Arabic),https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=105417&p_country=QAT&p_classification=01,,
Republic of Korea,Legislation,"Personal Information Protection Act, 2020 (In Korean)",http://www.law.go.kr/LSW/eng/engLsSc.do?menuId=2&section=lawNm&query=personal+&x=0&y=0,,
Republic of Moldova,Legislation,Law No. 133/2011 on personal data Protection (in Russian),http://ilo.ch/dyn/natlex/natlex4.detail?p_lang=en&p_isn=89948&p_count=100183&p_classification=01&p_classcount=13206,,
Romania,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Romania,Legislation,Law No. 102/2005 on the organisation and the fonctioning of the National Supervisorz Authoritz for Personal Data Processing,https://www.dataprotection.ro/servlet/ViewDocument?id=172,,
Russian Federation,Draft Legislation,Bill - Regarding Personal Data ,http://wko.at/ooe/Branchen/Industrie/Zusendungen/FEDERAL_LAW.pdf,,
Rwanda,Draft Legislation,"Bill - Personal Data Protection, 2019",,,
Saint Kitts and Nevis,Legislation,Data Protection Act 2018,https://www.dataguidance.com/sites/default/files/data_protection_act_5_of_2018.pdf,,
Saint Lucia,Legislation,Data Protection Act 2011 (in English),http://slugovprintery.com/template/files/document_for_sale/laws/3547/Act%202%20of%202015.pdf,,
Saint Vincent and the Grenadines,Draft Legislation,Bill - Data Protection Act - OECS models ,https://www.oecs.org/our-work/knowledge/library/egrip/data-protection-act,,
San Marino,Legislation,Law regulating the Computerized Collection of Personal Data 1983,https://www.consigliograndeegenerale.sm/on-line/home/archivio-leggi-decreti-e-regolamenti/scheda17014317.html,,
Sao Tome and Principe,Legislation,Data Protection Law 2016,https://www2.camara.leg.br/saotomeeprincipe/diarios-da-an/x-legislatura/ii-serie/3.a-sessao-legislativa/DAN01-IIS.pdf/view,,
