ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
CMR,Cameroon,Sub-Saharan Africa,2021,78.10,100.00,80.00,32.00,100.00,94.00,48.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,0.00,0.00,,
CAF,Central African Republic,Sub-Saharan Africa,2018,72.90,84.00,64.00,32.00,100.00,90.00,60.00,60.00,100.00,100.00,100.00,100.00,60.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,30.00,0.00,,,,
CAF,Central African Republic,Sub-Saharan Africa,2019,78.02,100.00,80.00,32.00,100.00,94.00,47.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
CAF,Central African Republic,Sub-Saharan Africa,2020,79.90,100.00,80.00,32.00,100.00,94.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,,,,
CAF,Central African Republic,Sub-Saharan Africa,2021,79.90,100.00,80.00,32.00,100.00,94.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,,,,
TCD,Chad,Sub-Saharan Africa,2018,76.05,84.00,72.00,32.00,100.00,90.00,73.00,60.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,30.00,100.00,50.00,100.00,,
TCD,Chad,Sub-Saharan Africa,2019,80.35,100.00,80.00,32.00,100.00,94.00,63.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,50.00,100.00,,
TCD,Chad,Sub-Saharan Africa,2020,81.85,100.00,80.00,32.00,100.00,94.00,73.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,100.00,50.00,100.00,,
TCD,Chad,Sub-Saharan Africa,2021,81.85,100.00,80.00,32.00,100.00,94.00,73.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,100.00,50.00,100.00,,
COL,Colombia,Latin America and the Caribbean,2018,89.45,100.00,100.00,92.00,55.56,94.00,88.13,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,30.00,75.00,,,,
