 0.6 , 0.9 , 1.3 , 1.9 , 2.5 , 3.2 , 4.2 , 5.4 , 6.1 , 7.8 , 9.7 , 11.5 , 13.6 , 15.1 , 16.3 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 2.3 , 3.4 , 4.1 , 5.4 , 7.7 , 9.5 , 11.4 , 13.6 , 15.6 , 18.0 , 20.8 , 22.5 , 23.1 , 24.2 , 26.6 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020,,
 16.8 , 18.4 , 20.6 , 23.1 , 25.8 , 29.3 , 31.8 , 34.7 , 36.9 , 38.9 , 41.1 , 43.9 , 46.3 , 49.0 , 51.4 ,," 1,100 "," 1,216 "," 1,382 "," 1,570 "," 1,772 "," 2,035 "," 2,242 "," 2,473 "," 2,660 "," 2,839 "," 3,030 "," 3,274 "," 3,492 "," 3,742 "," 3,969 ", N/A ,,
 52.8 , 55.1 , 59.0 , 61.3 , 62.9 , 66.5 , 67.6 , 72.0 , 73.8 , 75.8 , 76.8 , 81.0 , 81.9 , 84.9 , 86.7 ,, 641 , 673 , 723 , 754 , 778 , 826 , 843 , 901 , 927 , 955 , 971 ," 1,028 "," 1,042 "," 1,083 "," 1,108 ", N/A ,,
 8.1 , 9.6 , 11.9 , 14.6 , 17.6 , 21.1 , 24.1 , 26.7 , 29.1 , 31.2 , 33.7 , 36.3 , 39.1 , 41.9 , 44.4 ,, 432 , 515 , 652 , 811 , 989 ," 1,203 "," 1,392 "," 1,566 "," 1,729 "," 1,882 "," 2,057 "," 2,243 "," 2,447 "," 2,655 "," 2,852 ", N/A ,,
 1.4 , 1.6 , 2.0 , 3.1 , 4.3 , 5.5 , 6.6 , 8.1 , 9.3 , 10.8 , 12.4 , 14.3 , 16.1 , 17.6 , 19.5 ,, 10 , 12 , 16 , 25 , 35 , 46 , 57 , 71 , 83 , 99 , 116 , 138 , 159 , 177 , 201 , N/A ,,
