2015,2016,2017,Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type
56.5,62,,TUR,Turkey,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,49,60,TUR,Turkey,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
26.5,27,,TZA,Tanzania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,107,119,TZA,Tanzania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
29.7,43,,UGA,Uganda,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,102,86,UGA,Uganda,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
54.6,60,,UKR,Ukraine,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,54,63,UKR,Ukraine,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
62.6,59,,URY,Uruguay,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,39,67,URY,Uruguay,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
82.6,87,,USA,United States,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,11,26,USA,United States,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
26.1,35,,UZB,Uzbekistan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,108,106,UZB,Uzbekistan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
32.8,,,VEN,"Venezuela, RB",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,94,,VEN,"Venezuela, RB",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
43.1,50,,VNM,Vietnam,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,75,74,VNM,Vietnam,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
50.3,54,,ZAF,South Africa,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,61,72,ZAF,South Africa,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
22.8,24,,ZMB,Zambia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,110,121,ZMB,Zambia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
