1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,DJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,DMA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80666995,1.88914001,2.006190062,2.127640009,2.186199903,2.324660063,2.441450119,2.510849953,2.419159889,2.393369913,2.403000116,2.515409946,2.773459911,3.055140018,2.917069912,2.944649935,2.981250048,2.970479965,2.914089918,3.054970026,3.092829943,2.931240082,2.966029882,2.888000011,2.961539984,,Denmark,DNK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominican Republic,DOM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230279997,0.366400003,0.196229994,0.163570002,0.066040002,,,,,,,,,,,,0.534319997,,,,,Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461941246,0.563327948,0.627640485,0.694167037,0.728596601,0.797672089,0.909482308,1.003772291,1.105053743,1.177064768,1.247662617,1.245061622,1.344387647,1.400170817,1.684839423,1.614789684,1.880732692,1.708817427,1.941674037,1.908013669,1.903153576,1.902849963,1.91216224,2.027434915,2.246080944,,East Asia & Pacific (excluding high income),EAP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.606186346,0.620599795,0.639940835,0.61402812,0.622873444,0.612904988,0.635940739,0.653965116,0.686640717,0.619894137,0.725420353,0.717635565,0.70667501,0.621669246,,0.7192495,0.734011675,0.707666604,0.719810234,,,,Early-demographic dividend,EAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185563636,2.26092236,2.229461108,2.29947906,2.234789916,2.280463467,2.246594134,2.329189105,2.31492983,2.396890273,2.397489546,2.348979447,2.352110626,2.24867167,2.398587515,2.329271835,2.483714381,2.277598779,2.475011513,2.323939385,2.339509092,2.317081727,2.355693664,2.393178917,2.632895473,,East Asia & Pacific,EAS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794872834,0.8468151,0.659951538,0.689208824,0.718949468,0.842775006,0.870773654,0.862763871,0.816272455,0.805637148,0.81372024,0.875090316,0.839249082,0.964178979,0.902797411,0.845483533,0.863398723,0.850218436,0.874295084,0.872204475,0.892557299,0.911148296,0.863364959,0.891504924,0.921550461,,Europe & Central Asia (excluding high income),ECA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.651734368,1.636310216,1.604652881,1.697535451,1.682436689,1.7190911,1.695218497,1.719280528,1.694712121,1.649303528,1.656835928,1.657597127,1.720089255,1.810670531,1.774222731,1.780689257,1.82453456,1.804957647,1.842784648,1.905248346,1.884833304,1.947379358,1.941479839,2.007160839,2.107326359,,Europe & Central Asia,ECS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07406,0.062629998,0.065169998,,,0.0515,0.055339999,0.057349999,,,0.128629997,0.131940007,0.227789998,0.394630015,0.402969986,0.339910001,0.332359999,0.379900008,0.442660004,,,,,,,,Ecuador,ECU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212599993,0.197559997,0.199100003,0.186509997,0.192469999,,,,0.269939989,0.241410002,0.259030014,0.255100012,0.270240009,0.433120012,0.433450013,0.531539977,0.50898999,0.63894999,0.636489987,0.718580008,0.70848,0.679409981,0.723879993,0.837149978,0.962180018,,"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
