Country Name,Pillar,Sub-Pillar,Indicator,Data Source,Data Link,Available
Eritrea,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Eritrea,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Eritrea,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Eritrea,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Eritrea,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Eritrea,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Eritrea,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Eritrea,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Eritrea,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Eritrea,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Ethiopia,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Ethiopia,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Ethiopia,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Ethiopia,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
French Southern Territories,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
French Southern Territories,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
French Southern Territories,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Kenya,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Kenya,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Kenya,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Kenya,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,1
Madagascar,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Madagascar,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Madagascar,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Madagascar,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Malawi,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Malawi,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Malawi,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
